score,pubdate,source,title,link
38,2025-07-08-13-59-19 +0000,nyt,Trump’s New Trade Threats Set Off Global Scramble to Avoid Tariffs,https://www.nytimes.com/2025/07/08/business/economy/trump-tariffs-talks.html
26,2025-07-09-10-00-00 +0000,nypost,Secretary of State Marco Rubio gets glowing endorsement from White House chief of staff on ‘Pod Force One’: ‘Born for this’,https://nypost.com/2025/07/09/us-news/secretary-of-state-marco-rubio-gets-glowing-endorsement-from-white-house-chief-of-staff-on-pod-force-one-born-for-this/
19,2025-07-09-11-35-19 +0000,nypost,At least 3 dead after flash flooding hits New Mexico mountain village,https://nypost.com/2025/07/09/us-news/deadly-flash-flooding-hits-ruidoso-new-mexico/
19,2025-07-09-05-36-08 +0000,nypost,Kennedy grandson Jack Schlossberg mocks grandma Jacqueline Onassis’ pain over former prez’s alleged affair in unhinged post,https://nypost.com/2025/07/09/us-news/kennedy-grandson-jack-schlossberg-mocks-grandma-jacqueline-onassis-pain-over-jfks-alleged-affair-in-unhinged-post/
19,2025-07-09-03-09-46 +0000,nypost,"10 people charged for ‘organized attack’ on ICE agents, cop after military-style ambush: DOJ",https://nypost.com/2025/07/08/us-news/10-people-charged-for-organized-attack-on-ice-agents-cop-after-military-style-ambush-doj/
18,2025-07-09-02-52-23 +0000,nypost,"Rep. Ilhan Omar’s activist daughter unemployed, selling used clothes 15 months after arrest at Columbia anti-Israel protest",https://nypost.com/2025/07/08/us-news/rep-ilhan-omars-activist-daughter-unemployed-selling-used-clothes-15-months-after-arrest-at-columbia-anti-israel-protest/
18,2025-07-08-21-31-55 +0000,bbc,King and Macron toast 'ever closer' UK-France ties at state banquet,https://www.bbc.com/news/articles/cvg87y6d5j4o
17,2025-07-09-06-19-35 +0000,nypost,Camp Mystic’s disaster plan OK’d by state inspectors 2 days before deadly Texas floods,https://nypost.com/2025/07/09/us-news/texas-flooding-camp-mystic-emergency-plan-approved-by-inspectors-days-before-disaster/
17,2025-07-09-04-00-08 +0000,nypost,Long-lost bow of WWII ship found nearly 83 years after it was blown off in Japanese torpedo strike,https://nypost.com/2025/07/09/us-news/long-lost-bow-of-wwii-ship-found-nearly-83-years-after-it-was-blown-off-in-japanese-torpedo-strike/
16,2025-07-09-09-15-25 +0000,nypost,"Georgia teen Sarah Grace Patrick accused of killing mom, stepdad — as younger sister discovered bodies in their bed",https://nypost.com/2025/07/09/us-news/georgia-teen-sarah-grace-patrick-accused-of-killing-mom-stepdad-as-younger-sister-discovered-bodies-in-their-bed/
