score,pubdate,source,title,link
19,2025-06-12-18-42-28 +0000,cbc,"Protests at G7 summit expected to be largely peaceful, targeting Trump policies",https://www.cbc.ca/news/canada/calgary/protests-peaceful-trump-crackdown-1.7559506?cmp=rss
19,2025-06-12-15-46-56 +0000,bbc,Six Gaza aid boat activists deported from Israel after three days in detention,https://www.bbc.com/news/articles/cx273w1032yo
18,2025-06-12-03-30-00 +0000,wsj,"U.S.-China talks on trade resemble arms-control negotiations, with export controls being the key weapons in each side’s arsenal",https://www.wsj.com/economy/trade/china-us-trade-war-supply-chains-2726c163
15,2025-06-12-02-19-16 +0000,bbc,Jesús polished luxury vehicles at an LA car wash for years. Then ICE showed up,https://www.bbc.com/news/articles/czxylvq392xo
13,2025-06-12-18-34-34 +0000,bbc,Mistrial declared on rape charge in Weinstein case after juror won't return to jury room,https://www.bbc.com/news/articles/cpqegx8jx59o
13,2025-06-12-13-35-06 +0000,bbc,US-backed aid group says Hamas killed at least eight Palestinian staff in bus attack,https://www.bbc.com/news/articles/c4gr1rk5nvxo
12,2025-06-12-13-10-00 +0000,wsj,"Wholesale prices rose 0.1% in May from April, the Labor Department said, below the 0.2% rise economists had expected",https://www.wsj.com/economy/wholesale-prices-ticked-up-in-may-6e27bf04
11,2025-06-12-13-54-34 +0000,bbc,Watch: Fountains of molten lava arc into the air as Kilauea erupts,https://www.bbc.com/news/videos/c9wgzqgxx5go
10,2025-06-12-08-00-00 +0000,cbc,G7: Why there is hope of a Carney-Trump tariff breakthrough at Alberta summit,https://www.cbc.ca/news/canada/calgary/bakx-g7-tariff-trade-alberta-kananaskis-trump-1.7554309?cmp=rss
10,2025-06-12-01-43-24 +0000,bbc,US reviewing Aukus submarine pact as part of 'America First' agenda,https://www.bbc.com/news/articles/cy8d3d5l9l1o
